"id","name","version","url","synk_check"
"249","fontawesome",,"https://justcall.io/newsite/assets/js/fontawesome.min.js","2"
"250","tippy",,"https://cdn.justcall.io/js/tippy.all.min.js","2"
"251","OneSignalSDK",,"https://cdn.onesignal.com/sdks/OneSignalSDK.js","2"
"252","moment-timezone-with-data",,"https://cdn.justcall.io/app/assets/js/moment-timezone-with-data.min.js","2"
"253","moment_2_29_1",,"https://cdn.justcall.io/app/assets/js/moment_2_29_1.min.js","2"
"254","jspdf","0.9.0","https://cdnjs.cloudflare.com/ajax/libs/jspdf/0.9.0rc1/jspdf.min.js","2"
"255","callinsights-improve_booksy",,"https://justcall.io/app/assets/js/callinsights-improve_booksy.js?v=3","2"
"256","iziToast","1.3.0","https://cdn.justcall.io/app/assets/js/iziToast.min.js","2"
"257","daterangepicker","3.14.1","https://cdn.jsdelivr.net/npm/daterangepicker/daterangepicker.min.js","2"
"258","dataTables","1.3.1"," https://cdn.justcall.io/app/assets/js/dataTables.buttons.min.js","2"
"259","chart_2","2.9.4","https://cdn.justcall.io/app/sms_assets/js/chart_2.9.4.min.js","2"
"260","callinsight",,"https://justcall.io/ckassets/js/callinsight.js","2"
"261","global-vendors",,"https://justcall.io/app/assets/js/global-vendors.js","2"
"262","morris","0.5.0","https://cdnjs.cloudflare.com/ajax/libs/morris.js/0.5.1/morris.min.js","2"
"263","raphael-min","2.1.0","https://cdnjs.cloudflare.com/ajax/libs/raphael/2.1.0/raphael-min.js","2"
"264","Chart","2.9.3","https://cdn.justcall.io/app/assets/js/Chart.min.js","2"
"265","gmaps",,"https://justcall.io/app/assets/globals/plugins/gmaps/gmaps.js","2"
"266","firebase-database",,"https://www.gstatic.com/firebasejs/6.2.4/firebase-database.js","2"
"267","pusher","6.0.3","https://js.pusher.com/6.0/pusher.min.js","2"
"268","modernizr",,"https://justcall.io/app/assets/js/modernizr.min.js","2"
"269","dragable_segment_create_bulk",,"https://justcall.io/app/sms_assets/segment_module/dragable_segment_create_bulk.js","2"
"270","moment",,"https://cdnjs.cloudflare.com/ajax/libs/moment.js/2.29.1/moment.min.js","2"
"271","countrySelect",,"https://cdn.justcall.io/app/assets/js/countrySelect.min.js","2"
"272","firebase-app",,"https://www.gstatic.com/firebasejs/6.2.4/firebase-app.js","2"
"273","statusfirebase2",,"https://justcall.io/app/assets/js/statusfirebase2.js?v=4","2"
"274","toastr",,"https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/js/toastr.js","2"
"275","twilio","1.4.35","https://media.twiliocdn.com/sdk/js/client/releases/1.4.35/twilio.min.js","2"
"276","getwidgetval",,"https://justcall.io/app/getwidgetval.js?v=10","2"
"277","firebase-auth",,"https://www.gstatic.com/firebasejs/6.2.4/firebase-auth.js","2"
"278","jspdf","1.5.3","https://cdnjs.cloudflare.com/ajax/libs/jspdf/1.5.3/jspdf.min.js","1"
"279","jspdf","2.4.0","https://cdnjs.cloudflare.com/ajax/libs/jspdf/2.4.0/jspdf.umd.min.js","0"
"280","script","0.25","https://vsvg4v1vptbk.statuspage.io/embed/script.js","2"
"281","transcript_index_v2",,"https://justcall.io/assets/js/transcript_index_v2.js","2"
"282","popper",,"https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js","2"
"283","live_transcript_notification",,"https://justcall.io/app/assets/js/live_transcript_notification.js?0","2"
"284","live_transcript_notification",,"https://justcall.io/app/assets/js/live_transcript_notification.js","2"
"285","clipboard","1.5.12","https://cdn.justcall.io/app/assets/js/clipboard.min.js","2"
"286","bs-custom-file-input","1.3.4","https://cdn.jsdelivr.net/npm/bs-custom-file-input/dist/bs-custom-file-input.js","0"
"287","intlTelInput","17.0.3","https://cdn.jsdelivr.net/npm/intl-tel-input@17.0.3/build/js/intlTelInput.js","2"
"288","transcript_index_v4",,"https://justcall.io/assets/js/transcript_index_v4.js","2"
"289","notification_center",,"https://justcall.io/app/assets/js/notification_center.js?1615978853","2"
"290","select-2","4.0.3","https://cdn.justcall.io/js/select-2.js","2"
"291","select2","4.0.13","https://cdn.justcall.io/app/sms_assets/select2.min.js","0"
"292","index",,"https://cdn.jsdelivr.net/npm/emoji-picker-element@^1/index.js","2"
"293","html2canvas","1.3.2","https://cdnjs.cloudflare.com/ajax/libs/html2canvas/1.3.2/html2canvas.min.js","0"
"294","jspdf","1.5.3","https://cdnjs.cloudflare.com/ajax/libs/jspdf/1.5.3/jspdf.debug.js","1"
"295","widget",,"https://justcall.io/widget.js onload=justcall.init()","2"
"296","emojionearea","3.4.0","https://cdn.justcall.io/app/assets/js/emojionearea.min.js","0"
"297","transcript_index_v3",,"https://justcall.io/assets/js/transcript_index_v3.js","2"
"298","select2","4.0.3","https://cdnjs.cloudflare.com/ajax/libs/select2/4.0.3/js/select2.min.js","1"
"299","callinsights_livedashboard",,"https://justcall.io/ckassets/js/callinsights_livedashboard.js","2"
"300","daterangepicker","2.1.24","https://cdn.justcall.io/app/assets/js/daterangepicker.js","2"
"301","OneSignalSDK",,"https://cdn.justcall.io/app/assets/js/OneSignalSDK.js","2"
"302","chart_2","2.9.4","https://app.justcall.io/app/sms_assets/chart_2.9.4.min.js","2"
"303","chart_2","2.9.4","https://justcall.io/app/sms_assets/chart_2.9.4.min.js","2"
"304","buttons",,"https://justcall.io/app/assets/lib/datatables/plugins/buttons/js/buttons.colVis.js","2"
"305","manual_script",,"https://justcall.io/app/manual_script.js","2"
"306","buttons",,"https://justcall.io/app/assets/lib/datatables/plugins/buttons/js/buttons.print.js","2"
"307","buttons","07.2","https://justcall.io/app/assets/lib/datatables/plugins/buttons/js/buttons.html5.js","2"
"308","realtime_dashboard",,"https://justcall.io/app/assets/js/realtime_dashboard.js","2"
"309","html2canvas","1.4.1","https://html2canvas.hertzen.com/dist/html2canvas.js","0"
"310","getwidgetval",,"https://justcall.io/app/getwidgetval.js?v=22","2"
"311","getwidgetval_fortesting",,"https://justcall.io/app/getwidgetval_fortesting.js?v=22","2"
"312","dragable_segment",,"https://cdn.justcall.io/app/sms_assets/dragable_segment.js","2"
