"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"16348","1345","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump","0","1",
"16350","1348","<script src=""https://cdn.justcall.io/app/assets/lib/jquery/jquery.min.js"" type=""text/javascript""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://cdn.justcall.io/app/assets/lib/jquery/jquery.min.js"" type=""text/javascript""></script>","https://justcall.io/dump","0","1",
"16353","1353","<script src=""https://cdn.justcall.io/app/assets/lib/jquery-ui/jquery-ui.min.js"" type=""text/javascript""></script>","https://justcall.io/dump/call-center-software-integration_old1.php","<script src=""https://cdn.justcall.io/app/assets/lib/jquery-ui/jquery-ui.min.js"" type=""text/javascript""></script>","https://justcall.io/dump","0","1",
"16376","15","<script src=""https://cdn.justcall.io/js/plugins/jquery1.11.2.min.js""></script>","https://justcall.io/hubspot/hubspot_SMSiframe.php","<script src=""https://cdn.justcall.io/js/plugins/jquery1.11.2.min.js""></script>","https://justcall.io/hubspot","0","1",
"16377","17","<script src=""https://cdn.justcall.io/dialer/dialer_lib.min.js""></script>","https://justcall.io/hubspot/hubspot_SMSiframe.php","<script src=""https://cdn.justcall.io/dialer/dialer_lib.min.js""></script>","https://justcall.io/hubspot","0","1",
"16381","529","<script src=""https://cdn.justcall.io/js/plugins/jquery1.11.2.min.js""></script>","https://justcall.io/integration-old/pipedrive.php","<script src=""https://cdn.justcall.io/js/plugins/jquery1.11.2.min.js""></script>","https://justcall.io/integration-old","0","1",
"16382","530","<script src=""https://cdn.justcall.io/js/plugins/bootstrap.min.js""></script>","https://justcall.io/integration-old/pipedrive.php","<script src=""https://cdn.justcall.io/js/plugins/bootstrap.min.js""></script>","https://justcall.io/integration-old","0","1",
"16400","445","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/activecampaign.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
"16401","446","<script type=""text/javascript"" src=""assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/activecampaign.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/bootstrap.min.js""></script>","https://justcall.io/integrations/","0","1",
"16407","439","<script type=""text/javascript"" src=""assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/agile-crm.php","<script type=""text/javascript"" src=""https://justcall.io/integrations/assets/js/jquery-2.1.1.js""></script>","https://justcall.io/integrations/","0","1",
